material,cut_depth_um,blade_W_um,job,deletion_fraction,deleted_elements,total_elements,max_RF1_N,max_RF2_N,max_PEEQ
4HSiC,80,23,dicing_4HSiC_d080_bw23,0.063459,1642,25875,58989.5664,74250.5625,0.03755
4HSiC,150,23,dicing_4HSiC_d150_bw23,0.132947,3440,25875,33247.8438,62493.7227,0.037376
4HSiC,220,23,dicing_4HSiC_d220_bw23,0.110686,2864,25875,44237.0352,53600.3945,0.035447
4HSiC,290,23,dicing_4HSiC_d290_bw23,0.08085,2092,25875,29187.084,46654.5781,0.03647
4HSiC,360,23,dicing_4HSiC_d360_bw23,0.064734,1675,25875,48727.5898,59707.3828,0.038123
