cut_depth_um,feed_mm_s,chipping_um,chip_std_um,mrr
60.0,0.3,1.0749361757169655,2.0307707554608068,414.0
63.63636363636363,0.3,1.0969142413974655,2.0146337324453594,439.09090909090907
67.27272727272727,0.3,1.1199841855839416,1.9989518993191042,464.18181818181813
70.9090909090909,0.3,1.1441477797138297,1.983717314696576,489.2727272727272
74.54545454545455,0.3,1.169406570063833,1.968921619595503,514.3636363636364
78.18181818181819,0.3,1.1957618763589917,1.9545560528583374,539.4545454545455
81.81818181818181,0.3,1.2232147904454678,1.9406114681757836,564.5454545454545
85.45454545454545,0.3,1.2517661750292994,1.927078352647861,589.6363636363636
89.0909090909091,0.3,1.2814166624807939,1.9139468468066876,614.7272727272727
92.72727272727272,0.3,1.3121666537056154,1.9012067660142313,639.8181818181818
96.36363636363636,0.3,1.344016317082815,1.8888476231387876,664.9090909090909
100.0,0.3,1.3769655874712203,1.8768586524054347,690.0
103.63636363636363,0.3,1.4110141652841364,1.8652288343087788,715.090909090909
107.27272727272728,0.3,1.446161515633099,1.8539469214699495,740.1818181818181
110.9090909090909,0.3,1.482406867541334,1.8430014653164593,765.2727272727273
114.54545454545455,0.3,1.5197492132274242,1.83238084345988,790.3636363636363
118.18181818181819,0.3,1.5581873074594288,1.8220732876456367,815.4545454545454
121.81818181818181,0.3,1.5977196669807912,1.812066912148803,840.5454545454544
125.45454545454545,0.3,1.6383445700069448,1.8023497424922637,865.6363636363635
129.0909090909091,0.3,1.6800600557948906,1.7929097443654438,890.7272727272727
132.72727272727272,0.3,1.7228639242845025,1.783734852627278,915.8181818181818
136.36363636363637,0.3,1.7667537358129115,1.774813000281529,940.909090909091
140.0,0.3,1.8117268109021216,1.7661321473193834,966.0
143.63636363636363,0.3,1.8577802301199338,1.75768030933166,991.090909090909
147.27272727272725,0.3,1.9049108340145082,1.7494455858008873,1016.181818181818
150.9090909090909,0.3,1.9531152231231141,1.7414161879917422,1041.2727272727273
154.54545454545456,0.3,2.0023897580551733,1.733580466368471,1066.3636363636365
158.1818181818182,0.3,2.052730559649099,1.7259269374759991,1091.4545454545455
161.8181818181818,0.3,2.1041335092045204,1.7184443102319658,1116.5454545454545
165.45454545454544,0.3,2.156594248788463,1.7111215115856298,1141.6363636363635
169.0909090909091,0.3,2.2101081816169987,1.7039477115097874,1166.7272727272727
172.72727272727272,0.3,2.2646704725110887,1.6969123473003245,1191.8181818181818
176.36363636363637,0.3,2.32027604842804,1.6900051471671356,1216.909090909091
180.0,0.3,2.3769195990671044,1.6832161531084988,1242.0
183.63636363636363,0.3,2.434595577550927,1.676535743068778,1267.090909090909
187.27272727272725,0.3,2.493298201180819,1.6699546523867677,1292.181818181818
190.9090909090909,0.3,2.5530214522679158,1.6634639945482075,1317.2727272727273
194.54545454545453,0.3,2.613759079038047,1.657055281262456,1342.3636363636363
198.1818181818182,0.3,2.6755045966118676,1.6507204418880863,1367.4545454545455
201.8181818181818,0.3,2.738251288058798,1.6444518422367538,1392.5454545454545
205.45454545454544,0.3,2.8019922055256634,1.6382423027884472,1417.6363636363635
209.0909090909091,0.3,2.866720171439037,1.6320851163537566,1442.7272727272727
212.72727272727272,0.3,2.9324277797811975,1.6259740652212908,1467.8181818181818
216.36363636363635,0.3,2.9991073974396274,1.6199034378294093,1492.9090909090908
220.0,0.3,3.066751165629479,1.6138680450015481,1518.0
223.63636363636363,0.3,3.1353510013889068,1.6078632357846065,1543.0909090909088
227.27272727272728,0.3,3.204898599146932,1.6018849129282549,1568.1818181818182
230.9090909090909,0.3,3.275385432362639,1.595929548040878,1593.272727272727
234.54545454545453,0.3,3.3468027552362845,1.5899941964552016,1618.3636363636363
238.1818181818182,0.3,3.4191416044917577,1.5840765118327782,1643.4545454545455
241.8181818181818,0.3,3.4923928012290553,1.578174760531534,1668.5454545454545
245.45454545454544,0.3,3.5665469528466867,1.5722878357557553,1693.6363636363635
249.0909090909091,0.3,3.6415944550342854,1.5664152715003563,1718.7272727272725
252.72727272727272,0.3,3.717525493833162,1.5605572562948793,1743.8181818181818
256.3636363636364,0.3,3.7943300477658175,1.5547146467434014,1768.9090909090908
260.0,0.3,3.871997890032633,1.5488889808477446,1794.0
