material,process,mat_k_thermal,mat_E_GPa,mat_cte,power_W,speed_mm_s,beam_radius_um,blade_W_um,cut_depth_um,peak_T_C,groove_depth_um,haz_depth_um,haz_excess_um,haz_width_um,haz_volume_um3,haz_volume_frac,ablated_volume_um3,max_grad_C_per_um,max_thermal_stress_MPa,crack_risk_volume_um3,crack_risk_frac,n_steps
Si,laser,148.0,130.0,2.6e-06,20.908402756466167,385.72278672951023,4.238708963211513,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,2000.0,0.001263,125.0,395.0,927.15,4125.0,0.002604,401
Si,laser,148.0,130.0,2.6e-06,8.695102873537914,240.6590579741923,7.016307517762694,23.0,60.0,1007.45,0.0,10.0,10.0,25.0,2875.0,0.001815,0.0,73.051,461.21,8250.0,0.005208,8301
Si,laser,148.0,130.0,2.6e-06,10.661556090340328,150.56012037149094,3.001707230164008,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1375.0,0.000868,125.0,210.609,927.15,3125.0,0.001973,1701
Si,laser,148.0,130.0,2.6e-06,36.66253305129233,232.84251612098052,7.357849171226217,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,4500.0,0.002841,125.0,395.0,927.15,9000.0,0.005682,451
Si,laser,148.0,130.0,2.6e-06,39.24053544067267,373.8647955751453,7.555412326353913,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,5875.0,0.003709,250.0,395.0,927.15,10000.0,0.006313,351
Si,laser,148.0,130.0,2.6e-06,25.485705493454873,355.12272384005513,3.1059843746443927,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1250.0,0.000789,250.0,395.0,927.15,2250.0,0.00142,351
Si,laser,148.0,130.0,2.6e-06,29.382118219913522,124.88705106040906,7.6618091139013975,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,6125.0,0.003867,125.0,342.501,927.15,11500.0,0.00726,1501
Si,laser,148.0,130.0,2.6e-06,38.28206602203235,87.27865749595733,5.974795487848248,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2500.0,0.001578,125.0,395.0,927.15,4375.0,0.002762,501
Si,laser,148.0,130.0,2.6e-06,38.686324382033206,97.12716592319376,7.675935558166307,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3875.0,0.002446,125.0,395.0,927.15,8250.0,0.005208,701
Si,laser,148.0,130.0,2.6e-06,28.169085327825986,100.45499843918302,6.366704876525359,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3750.0,0.002367,125.0,395.0,927.15,7125.0,0.004498,1351
Si,laser,148.0,130.0,2.6e-06,22.118347047184557,376.4356482430319,4.497125721499215,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2250.0,0.00142,125.0,395.0,927.15,4375.0,0.002762,401
Si,laser,148.0,130.0,2.6e-06,24.445349826483984,306.08317467220365,4.525598885289542,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2250.0,0.00142,125.0,395.0,927.15,4375.0,0.002762,451
Si,laser,148.0,130.0,2.6e-06,15.186384979983405,203.65174509624447,4.845350883934634,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3500.0,0.00221,125.0,213.675,927.15,6875.0,0.00434,1451
Si,laser,148.0,130.0,2.6e-06,12.59716518479812,198.8279358720165,3.4021024698444924,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1875.0,0.001184,125.0,214.824,927.15,3500.0,0.00221,1301
Si,laser,148.0,130.0,2.6e-06,30.665073805655993,309.0067437489915,5.7633200681784444,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3250.0,0.002052,125.0,395.0,927.15,6125.0,0.003867,401
Si,laser,148.0,130.0,2.6e-06,15.57724155982818,226.6038995251628,6.471897734004196,23.0,60.0,1894.56,0.0,20.0,20.0,35.0,12000.0,0.007576,0.0,144.351,877.66,28000.0,0.017677,8851
Si,laser,148.0,130.0,2.6e-06,34.64900504265516,143.01095507077255,4.93969214627172,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1625.0,0.001026,125.0,395.0,927.15,3000.0,0.001894,451
